                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.98954,                0.68446,                 1.1473,                0.80012,                0.91638,                0.87245,                0.55453,                 1.2296,                0.68871,                 1.3307,               0.009307,               0.009307,               0.009307
                     73,                 0.9934,                 0.6876,                 1.1566,                0.78374,                0.88094,                0.85023,                0.53528,                 1.2582,                0.75048,                 1.3544,              0.0092971,              0.0092971,              0.0092971
                     74,                0.99489,                0.68631,                 1.1536,                0.84567,                0.85319,                0.87503,                0.56818,                 1.2078,                 0.6731,                 1.3327,              0.0092872,              0.0092872,              0.0092872
                     75,                0.98562,                0.67303,                 1.1561,                0.83427,                 0.8506,                0.86318,                0.55932,                 1.2416,                0.73059,                 1.3623,              0.0092773,              0.0092773,              0.0092773
                     76,                0.99035,                0.68539,                 1.1605,                0.87212,                0.84719,                0.89204,                 0.5832,                 1.1874,                0.64214,                  1.308,              0.0092674,              0.0092674,              0.0092674
                     77,                0.97051,                0.68051,                 1.1534,                0.83881,                0.88366,                0.89451,                0.57885,                 1.2108,                0.64642,                 1.3233,              0.0092575,              0.0092575,              0.0092575
                     78,                0.98396,                0.67417,                 1.1599,                 0.8058,                0.87566,                0.86669,                0.56222,                 1.2239,                0.70768,                 1.3243,              0.0092476,              0.0092476,              0.0092476
                     79,                0.96718,                0.66635,                 1.1471,                0.80523,                0.83578,                0.83439,                0.55083,                 1.2067,                 0.7315,                 1.3269,              0.0092377,              0.0092377,              0.0092377
                     80,                0.96509,                0.66158,                 1.1466,                0.85084,                0.89679,                0.89753,                0.58134,                 1.2047,                0.63826,                 1.3311,              0.0092278,              0.0092278,              0.0092278
                     81,                0.97118,                0.65577,                 1.1372,                0.81086,                0.87311,                0.84399,                0.54906,                 1.2196,                 0.7103,                 1.3293,              0.0092179,              0.0092179,              0.0092179
                     82,                0.97829,                0.67485,                 1.1543,                0.80485,                0.88307,                 0.8477,                0.55023,                 1.2145,                0.71784,                 1.3192,               0.009208,               0.009208,               0.009208
                     83,                0.97023,                0.66026,                 1.1477,                0.86683,                0.86302,                0.89485,                0.57786,                  1.235,                0.64051,                 1.3482,              0.0091981,              0.0091981,              0.0091981
                     84,                0.96908,                0.65143,                 1.1364,                0.80245,                0.89749,                0.87325,                0.56335,                 1.2327,                0.69048,                 1.3362,              0.0091882,              0.0091882,              0.0091882
                     85,                0.96232,                0.65499,                 1.1392,                0.87877,                 0.8896,                0.89808,                0.57712,                 1.2364,                0.64444,                 1.3423,              0.0091783,              0.0091783,              0.0091783
                     86,                0.93989,                0.64389,                 1.1257,                0.86397,                0.84804,                0.88879,                0.57557,                 1.2292,                0.64146,                 1.3434,              0.0091684,              0.0091684,              0.0091684
                     87,                0.94577,                0.63088,                  1.135,                0.83304,                0.85307,                0.86076,                0.55511,                 1.2331,                   0.71,                   1.35,              0.0091585,              0.0091585,              0.0091585
                     88,                0.94254,                0.63288,                 1.1311,                0.87182,                0.85901,                0.87227,                0.57735,                 1.2048,                0.67561,                 1.3268,              0.0091486,              0.0091486,              0.0091486
                     89,                0.93923,                 0.6376,                  1.132,                0.88391,                  0.885,                0.91132,                0.58044,                 1.2869,                0.63019,                 1.3929,              0.0091387,              0.0091387,              0.0091387
                     90,                0.94412,                0.62422,                  1.126,                0.83395,                0.89029,                0.89339,                 0.5714,                 1.2403,                0.62132,                 1.3506,              0.0091288,              0.0091288,              0.0091288
                     91,                0.94237,                0.63855,                 1.1324,                0.80837,                0.88258,                0.84403,                0.53557,                 1.2359,                0.72602,                  1.345,              0.0091189,              0.0091189,              0.0091189
                     92,                0.92655,                 0.6283,                  1.128,                0.84427,                0.88245,                0.89297,                0.57992,                 1.2476,                0.67136,                 1.3454,               0.009109,               0.009109,               0.009109
